id,TransactionID,Date,CustomerID,PartNo,Quantity,Rate,TotalPrice,PartDescription,Category,Source,VehicleMake
132,4264,29-11-2023,CUST-114,12204-36030,2,8.34,16.68,OIL FILTER GASKET,Others,OEM,Generic
133,4923,19-01-2023,CUST-970,90311-T0016,3,16.3,48.9,GEAR FILTER ,Others,OEM,Mitsubishi
134,9045,21-05-2023,CUST-873,21200-VJ20A,3,18.07,54.21,LOWER ARM,Others,Source,Mitsubishi
135,9250,24-08-2024,CUST-249,DIAMBD-502,1,7.06,7.06,LOWER ARM BUSH,Others,Source,Toyota
136,8107,31-03-2025,CUST-696,83320-0K010,3,18.61,55.83,ENGMATE,Others,Source,Mitsubishi
137,3548,12-04-2025,CUST-864,90311-T0015,2,3.87,7.74,GEAR FILTER ,Others,Aftermarket,Honda
138,6934,10-08-2023,CUST-422,11011-38050,2,14.88,29.76,IDLER BEARING,Others,Source,VehicleMake
139,955,01-03-2025,CUST-841,DIAMBD-502,1,6.19,6.19,THRONE ARM,Others,OEM,Mitsubishi
140,7421,06-10-2023,CUST-995,CB1232,1,17.89,17.89,COOLANT,Others,Aftermarket,Generic
141,10002,24-11-2024,CUST-144,04111-11021,1,3.03,3.03,PETROLLOGGLE,Others,Aftermarket,VehicleMake
142,2152,30-10-2023,CUST-872,KYB334400,3,10.28,30.84,AXLE GREASE,Others,Source,Mitsubishi
143,6321,29-08-2023,CUST-618,M748A-STD,2,14.4,28.8,LINKS,Others,OEM,Honda
144,3604,07-01-2025,CUST-151,90311-35033,3,11.59,34.77,AIR FILTER,Others,Source,Honda
145,4073,27-06-2024,CUST-205,LUCIDES,3,11.49,34.47,CHAIN TENSIONER,Others,OEM,Generic
146,1568,31-10-2024,CUST-660,04371-60070,2,13.71,27.42,PISTON RING,Others,Source,Toyota
147,3651,03-09-2024,CUST-161,SDTA10193(STD),1,11.53,11.53,BELT,Others,Source,Toyota
148,8548,07-12-2024,CUST-508,DAITYK029,2,4.82,9.64,SHOCK ABSORBER,Others,OEM,Toyota
149,8711,22-10-2023,CUST-857,17801-0C010,3,10.12,30.36,"BELT','Generic",Others,Source,Nissan
150,9055,23-09-2024,CUST-821,THREEBOND,2,17.77,35.54,TIMING BELT,Others,Source,Nissan
151,8184,09-11-2023,CUST-568,DIAMBD-006U,3,12.79,38.37,LOWER ARM BUSH,Others,Aftermarket,Toyota
152,8725,03-09-2023,CUST-619,68171-60070,3,6.33,18.99,THRONE ARM,Others,Aftermarket,Generic
153,2469,14-12-2023,CUST-528,MIT-COOL(4L)-G,1,13.9,13.9,FUEL PURIFICATION,Others,Source,Mitsubishi
154,5752,23-07-2023,CUST-172,68174-60050,2,11.25,22.5,WATER PUMP,Others,Aftermarket,Honda
155,1160,23-08-2023,CUST-743,04465-33050,2,7.87,15.74,THERMOSTAT,Others,Aftermarket,VehicleMake
156,8187,09-04-2023,CUST-541,90919-01233,1,9.53,9.53,SHOCK ABSORBER,Others,Source,Mitsubishi
157,5515,27-04-2024,CUST-536,4PK1070,2,8.21,16.42,LINKS,Others,OEM,Generic
158,9738,29-04-2024,CUST-715,10101-EA225,2,9.99,19.98,THRUST WASHER,Others,Source,Generic
159,8989,15-07-2024,CUST-862,35330-73010,2,19.99,39.98,GEAR GASKET,Others,OEM,VehicleMake
160,2472,31-03-2025,CUST-647,THREEBOND,3,18.61,55.83,UNIVERSAL JOINTS,Others,Source,Toyota
161,3372,01-05-2024,CUST-778,13091-ZK00A,1,14.12,14.12,LINKS,Others,OEM,VehicleMake
162,1856,23-02-2025,CUST-447,MIT-COOL(4L)-G,2,3.16,6.32,air filter,Others,Aftermarket,Mitsubishi
163,5984,29-06-2023,CUST-185,THREEBOND,2,10.75,21.5,TIMING BELT,Others,OEM,Honda
164,6705,01-12-2023,CUST-160,15692-31010,3,9.19,27.57,PETROL GAUGE,Others,Aftermarket,Toyota
165,4471,18-02-2024,CUST-445,MK-D-2228,2,9.29,18.58,MAIN BEARING,Others,OEM,Nissan
166,6143,31-01-2025,CUST-837,4PK980,1,15.59,15.59,SHOCK ABSORBER,Others,Source,Honda
167,3193,05-08-2024,CUST-379,GWT131,2,5.16,10.32,MAIN BEARING,Others,Source,Toyota
168,4199,16-08-2024,CUST-999,44348-35280,1,3.51,3.51,PETROLLOAR ,Others,OEM,Honda
169,4620,22-06-2023,CUST-305,21200-31 UB0,1,8.1,8.1,air filtration kit,Others,OEM,Honda
170,4871,12-02-2024,CUST-740,KYB334400,1,10.32,10.32,LINKS,Others,Aftermarket,Honda
171,4760,17-06-2023,CUST-127,68172-60060,3,16.06,48.18,GASKET SEALANT,Others,Source,Toyota
172,3967,01-12-2023,CUST-558,4410A180-K,2,5.3,10.6,common mounting,Others,Source,VehicleMake
173,7262,03-05-2024,CUST-528,DIAMBD-502,3,10.5,31.5,BELT,Others,Source,Toyota
174,1203,15-06-2023,CUST-941,GIP-505,3,6.46,19.38,COOLANT,Others,OEM,Toyota
175,868,09-07-2024,CUST-751,68173-60050,2,5.29,10.58,WEATHER STRIP,Others,Source,Mitsubishi
176,9617,27-04-2024,CUST-196,SWN30131,1,7.01,7.01,LOWER ARM BUSH,Others,Aftermarket,Toyota
177,1045,04-12-2023,CUST-132,90915-YZZD2,1,11.04,11.04,GEAR FILTER ,Others,Aftermarket,Generic
178,5199,08-08-2023,CUST-240,15208-31U00,2,10.48,20.96,VALVE COVER GASKET,Others,Aftermarket,VehicleMake
179,7890,15-10-2023,CUST-742,CLT19,3,12.6,37.8,CLUTCH COVER,Others,Aftermarket,Honda
180,9623,09-03-2024,CUST-928,04465-06090,2,9.53,19.06,PETROLLOAR ,Others,Aftermarket,Nissan
181,8139,30-05-2024,CUST-908,04465-06090,1,10.59,10.59,TRANSAXLE GASKET,Others,Aftermarket,Generic
182,3396,05-07-2024,CUST-562,CB1232(STD),1,16.27,16.27,CLUTCHDISK,Others,Aftermarket,Toyota
183,972,05-10-2024,CUST-190,90445-18130,2,12.25,24.5,UNIVERSAL JACK COVER,Others,Source,Mitsubishi
184,8767,31-01-2023,CUST-604,68173-60050,3,8.89,26.67,UNIVERSAL JOINT,Others,Source,Generic
185,8781,12-01-2024,CUST-708,13070-9BM0A,1,18.71,18.71,OIL FILTER,Others,Source,Nissan
186,3588,25-09-2024,CUST-392,4PK1070,2,12.2,24.4,GEAR FILTER ,Others,OEM,Generic
187,4831,06-06-2024,CUST-666,68172-60060,1,16.6,16.6,COOLANT,Others,Source,Nissan
188,203,03-02-2023,CUST-542,KYB334698,1,8.2,8.2,POWER STEERING HOSE,Others,Aftermarket,Mitsubishi
189,8120,30-06-2025,CUST-956,THREEBOND,2,10.53,21.06,UNIVERSAL JOINT,Others,OEM,Nissan
190,6156,31-08-2023,CUST-210,12305-0C011,2,16.21,32.42,POWER STEERING KIT,Others,Aftermarket,VehicleMake
191,5130,18-01-2024,CUST-564,16100-39456,1,7.96,7.96,PartDescription,Others,Aftermarket,Nissan
192,7414,03-07-2023,CUST-237,90919-01210,3,7.94,23.82,common mounting,Others,OEM,Toyota
193,5793,31-08-2024,CUST-596,16100-39456,2,4.69,9.38,LINK ROD,Others,Source,Mitsubishi
194,4560,12-12-2023,CUST-111,83320‑0K01A,2,2.75,5.5,THRUST WASher,Others,Source,VehicleMake
195,278,13-08-2023,CUST-792,35168-21020,2,17.19,34.38,GASKET SEALANT,Others,OEM,Toyota
196,3174,07-05-2025,CUST-819,04446-06060,1,4.89,4.89,SPARK PLUG,Others,Source,Mitsubishi
197,1751,01-06-2025,CUST-810,KYB334698,1,18.36,18.36,CLUTCH ASSEMBLY,Others,Source,Mitsubishi
198,9875,16-09-2024,CUST-295,DIAMBD-502,2,3.14,6.28,GEAR FILTER ,Others,Aftermarket,Mitsubishi
199,651,13-04-2024,CUST-838,04111-11001,1,10.06,10.06,FUEL FILTER,Others,OEM,Honda
200,3979,05-06-2025,CUST-937,12305-0C011,2,16.46,32.92,gasket kit,Others,OEM,Nissan
201,235,16-04-2025,CUST-567,02-132,2,12.89,25.78,ENGINE INSULATION,Others,OEM,Honda
202,4028,10-02-2024,CUST-522,04446-06060,1,8.97,8.97,AXLE BOOT,Others,OEM,Mitsubishi
203,8388,03-12-2024,CUST-657,13503-62030,1,9.9,9.9,shock assembly,Others,Aftermarket,VehicleMake
204,2628,10-05-2023,CUST-653,KYB334399,2,9.25,18.5,CON ROD BEARING(UM),Others,OEM,Mitsubishi
205,5823,05-01-2024,CUST-356,13505-20030,3,4.02,12.06,FUEL FILTER,Others,Aftermarket,VehicleMake
206,3374,06-02-2023,CUST-726,4PK930,1,10.43,10.43,OIL FILTER,Others,OEM,Toyota
207,1656,01-02-2023,CUST-278,13505-20030,1,7.37,7.37,TRANSAXLE GASKET,Others,Aftermarket,VehicleMake
208,8464,24-04-2023,CUST-311,04111-11021,2,9.07,18.14,LINK ROD,Others,Aftermarket,Generic
209,8579,25-11-2024,CUST-628,10101-EA225,2,7.02,14.04,THERMOSTAT GASKET,Others,Source,Mitsubishi
210,5665,30-09-2024,CUST-725,MIT-COMMON-MOUNTING,2,16.13,32.26,GEAR FILTER ,Others,Aftermarket,Mitsubishi
211,8939,27-10-2023,CUST-470,48655-28020,3,11.96,35.88,GROMMET,Others,Aftermarket,Honda
212,3466,28-11-2023,CUST-456,KYB334400,2,4.92,9.84,COOLANT,Others,Source,Mitsubishi
213,9868,18-06-2023,CUST-341,04465-33050,2,3.21,6.42,CHAIN TENSIONER,Others,Aftermarket,Mitsubishi
214,8505,09-10-2024,CUST-187,04446-06060,3,18.5,55.5,AXLE BOOT,Others,Source,Mitsubishi
215,9506,29-01-2024,CUST-437,23826-31080,3,19.12,57.36,STEERING BOOT,Others,Source,Mitsubishi
216,2032,03-05-2023,CUST-866,04495-06050,1,5.25,5.25,VENTILATION VALVE,Others,OEM,Toyota
217,2952,27-10-2024,CUST-107,23300-75140,3,6.93,20.79,GUM HOSE,Others,Source,VehicleMake
218,984,24-05-2024,CUST-494,90311-T0015,3,14.17,42.51,SPARK PLUG,Others,Source,VehicleMake
219,2953,02-12-2024,CUST-671,SWT10236ZZ-STD,3,19.31,57.93,AXLE GREASE,Others,Source,Generic
220,7245,28-02-2023,CUST-690,SHELLAC,3,11.77,35.31,STEERING BOOT,Others,Aftermarket,VehicleMake
221,9548,11-06-2024,CUST-366,MIT-COOL(4L)-G,2,12.4,24.8,CON ROD BEARING(UM),Others,OEM,Toyota
222,7994,27-02-2023,CUST-701,4PK1070,2,12.35,24.7,POWER STEERING HOSE,Others,OEM,Mitsubishi
223,7426,23-06-2025,CUST-198,SWN30131,2,3.37,6.74,PISTON,Others,Aftermarket,Nissan
224,1031,21-06-2023,CUST-464,12361-31081,1,16.55,16.55,LOWER ARM BUSH,Others,OEM,VehicleMake
225,6506,20-08-2024,CUST-951,13070-9BM0A,3,4.0,12.0,TIMING BELT,Others,Aftermarket,Generic
226,9378,17-08-2023,CUST-637,KYB33340187,1,19.43,19.43,CON ROD BEARING(UM),Others,OEM,Toyota
227,2410,29-12-2023,CUST-387,SL3890R,1,16.86,16.86,CON ROD BEARING,Others,Aftermarket,Generic
228,5592,02-05-2025,CUST-856,35168-73010,2,6.04,12.08,CON ROD BEARING(U),Others,OEM,VehicleMake
229,6614,04-12-2023,CUST-711,90445-18130,1,10.51,10.51,THERMOSTAT GASKET,Others,Source,Honda
230,2492,11-02-2025,CUST-247,90311-35033,3,2.65,7.95,STEERING DAMPER,Others,Aftermarket,Mitsubishi
231,1821,10-11-2024,CUST-332,13505-20030,3,16.64,49.92,TIEROD END,Others,Source,Generic
232,6327,27-03-2023,CUST-736,15208-31U00,3,14.82,44.46,FUEL FILTER,Others,OEM,Honda
233,4867,09-10-2023,CUST-831,11213-20030,3,12.39,37.17,THRUST WASHER,Others,Source,Mitsubishi
234,5141,01-06-2023,CUST-786,12010-EA200,2,3.92,7.84,CLUTCH COVER,Others,Aftermarket,Toyota
235,6518,28-03-2023,CUST-668,83320-0K010,3,4.28,12.84,air filtration kit,Others,Source,Generic
236,1773,30-06-2025,CUST-566,90919-01210,2,18.97,37.94,CLUTCH COVER,Others,Aftermarket,Nissan
237,2743,06-02-2025,CUST-433,KYB334399,2,5.81,11.62,BRAKE PAD,Others,Source,Generic
238,9282,14-04-2025,CUST-637,13568-YZZ10,3,6.36,19.08,VACCUM HOSE,Others,Source,Nissan
239,4829,19-10-2024,CUST-303,04111-11001,1,19.75,19.75,TRANSAXLE GASKET,Others,Source,Generic
240,1964,08-03-2023,CUST-764,04465-33050,2,11.31,22.62,UNIVERSAL JOINTS,Others,Aftermarket,Honda
241,5396,09-08-2024,CUST-633,12204-31030,3,15.59,46.77,GASKET KIT,Others,Aftermarket,Generic
242,1919,18-12-2024,CUST-364,90311-T0016,3,2.73,8.19,AXLE GREASE,Others,Source,Mitsubishi
